spu_id	Orthogroup	family_member	common_name	synonyms	best_genbank_hit
3457	SPU_007588	OG0003480	NA	Ttyh2	tweety homolog 2 (Drosophila)	EDL34440.1
3458	SPU_007589	OG0007309	PIH1 superfamily	Dnaaf2	dynein axonemal assembly factor 2, kintoun, C14orf104L	XP_002741766
3459	SPU_007592	OG0011268	DnaJ superfamily	Dnajhc17	DnaJ (Hsp40) homolog, subfamily C member 17	AAH00048.1
3460	SPU_007595	OG0007002	NA	Yars	tyrosyl-tRNA synthetase 	NP_003671  
3461	SPU_007596	OG0007865	WD40 superfamily	Pex7	peroxisome biogenesis factor 7	NP_000279.1
3462	SPU_007597	OG0004453	LisH superfamily	Hypp_522	hypothetical protein-522	EEA34095.1
3463	SPU_007598	OG0000679	NA	NA	NA	NA
3464	SPU_007599	OG0008906	zf-C2H2	GlassL	glass-like, Glass2	NA
3465	SPU_007600	OG0000919	NA	NA	NA	NA
3466	SPU_007601	OG0001940	NA	Slco4a1_7	Solute carrier organic anion transporter family member 4A1 (Solute carrier family 21 member 12) (Sodium-independent organic anion transporter E) (Organic anion transporting polypeptide E) (OATP-E) 	27734552
3467	SPU_007602	OG0009041	Dicty_REP superfamily	Hypp_1733	hypothetical protein-1733; Nipped-B homolog (Drosophila)-like	BAE92520.1
3468	SPU_007604	OG0007602	NA	Slco_1	solute carrier organic anion transporter	26329281
3469	SPU_007611	OG0006479	RFX	Rfx3	regulatory factor X, 3-like; Rfx1/2/3-like, Rfx (D. melanogaster) homolog, Rfx2, Rfx3_1	XP_008919891
3470	SPU_007613	OG0009909	NOT2_3_5 superfamily	Cnot3	CCR4-NOT transcription factor 3	EAW72193.1
3471	SPU_007614	OG0007031	actin superfamily	Actg1	actin, gamma 1	NP_033739.1
3472	SPU_007618	OG0000623	SRCR	Srcr55	NA	NA
3473	SPU_007619	OG0000411	NA	Abcc8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	AAC72292.1
3474	SPU_007620	OG0008676	NLR	Nlr187	NACHT and LRR containing protein	NA
3475	SPU_007623	OG0006934	NA	NA	NA	NA
3476	SPU_007624	OG0003390	Receptor tyrosine kinase	Ros_1	c-ros, Ros1, Ros1 proto-oncogene	ROS_CHICK
3477	SPU_007629	OG0008523	adhesion protein	Ig/Egf/Fn3	NA	NA
3478	SPU_007632	OG0000103	RT-like superfamily	Rt28	reverse transcriptase-28	BAD72127.1
3479	SPU_007634	OG0010049	NA	St7	suppression of tumorigenicity 7, St15l_1	XP_002734644
3480	SPU_007635	OG0008941	NA	Hypp_1738	hypothetical protein-1738	EEN55713.1
3481	SPU_007636	OG0002974	zf-C2H2	Z306	zinc finger protein 306, ovo-like	
3482	SPU_007643	OG0010615	NA	Hypp_1739	hypothetical protein-1739	XP_002221036.1
3483	SPU_007644	OG0002400	Forkhead	FoxJ2	forkhead box J2 and J3-like (partial), FoxJ2/3\n(partial)	EQB77128.1
3484	SPU_007647	OG0000063	CUB superfamily	Hypp_1740	hypothetical protein-1740	NP_444401.2
3485	SPU_007648	OG0000343	CUB superfamily	CubnL_9	cubilin (intrinsic factor-cobalamin receptor)-like-9	EAW86221.1
3486	SPU_007649	OG0010999	NA	NA	NA	NA
3487	SPU_007653	OG0006197	MFS superfamily	Hypp_1741	hypothetical protein-1741; monocarboxylate transporter-like	XP_002205778.1
3488	SPU_007654	OG0012370	NA	Hypp_2987	hypothetical protein-2987	NA
3489	SPU_007655	OG0007653	serine/threonine kinase	Cdk2	Cyclin-dependent protein kinase 2, Cell division protein kinase 2, EC 2.7.1.37	P24941
3490	SPU_007656	OG0011050	NA	NA	NA	NA
3491	SPU_007658	OG0012238	NA	Hormad1	HORMA domain containing 1	AK016743
3492	SPU_007659	OG0006336	DNA_BRE_C superfamily	Kctd1L_1	potassium channel tetramerisation domain containing 1-like-1	NP_001136202.1
3493	SPU_007661	OG0000261	mucin	MucB	NA	AAA29996.1
3494	SPU_007662	OG0009276	NA	Ccdc28b	coiled-coil domain containing 28B	BAB22692.1
3495	SPU_007663	OG0008457	NA	Hypp1742	hypothetical protein-1742, Hypp_1742	EKC36312
3496	SPU_007664	OG0007338	esterase-lipase superfamily	Esd	esterase D/formylglutathione hydrolase	AAH01169.1
3497	SPU_007667	OG0000840	NA	Rbm16/SfrS15L	RNA-binding motif protein 16	NP_055707
3498	SPU_007669	OG0001650	NA	NA	NA	NA
3499	SPU_007670	OG0010031	NA	Psmc5	Proteasome 26S subunit ATPase 5, Sug1	Z54219
3500	SPU_007671	OG0009418	NA	NA	NA	NA
3501	SPU_007672	OG0008245	NA	Css2	Chondroitin sulfate synthase 2 (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase II) (Chondroitin glucuronyltransferase II) (N-acetylgalactosaminyltransferase) (Chondroitin polymerizing factor)	62901502
3502	SPU_007673	OG0012786	CAP_ED superfamily, REM superfamily, RasGEF superfamily	Rapgef4_1	Rap guanine nucleotide exchange factor (GEF) 4-1	EAX11167.1
3503	SPU_007674	OG0007882	NA	NA	NA	NA
3504	SPU_007675	OG0003784	NA	Sf3a3	pre-mRNA splicing factor SF3a (60kD)	NP_006793
3505	SPU_007676	OG0011538	NA	Oxidrd	NAD/FAD-dependent oxidoreductase	51948438
3506	SPU_007681	OG0001592	BBOX superfamily, WD40 superfamily	Hypp_1744	hypothetical protein-1744	XP_002222408.1
3507	SPU_007682	OG0011456	metalloprotease	CbpdEL	NA	BAA86053
3508	SPU_007683	OG0009944	NA	Acsl5	Long-chain-fatty-acid--CoA ligase 5 (Long-chain acyl-CoA synthetase 5) (LACS 5)	6016484
3509	SPU_007684	OG0003146	Sec62 superfamily	Sec62h	SEC62 homolog (S. cerevisiae); translocation protein 1	EDL34971.1
3510	SPU_007685	OG0008122	NA	NA	NA	NA
3511	SPU_007686	OG0001740	KAZAL, Patched	Ptchd2	patched domain containing 2-like (partial), DISP3, KIAA1337	XP_002614096
3512	SPU_007691	OG0008371	NA	Hypp_2988	hypothetical protein-2988	NA
3513	SPU_007696	OG0001169	NA	Ada	Adenosine deaminase (Adenosine aminohydrolase)	113340
3514	SPU_007697	OG0006254	NA	NA	NA	NA
3515	SPU_007699	OG0001922	NA	NA	NA	NA
3516	SPU_007712	OG0012459	NA	NA	NA	NA
3517	SPU_007713	OG0012570	NA	NA	NA	NA
3518	SPU_007720	OG0009549	spectrin	Betaspec	spectrin beta chain, beta-Spec homolog, beta-spectrin, Bstrnph, Sptbn, Spnb2	NP_001171782
3519	SPU_007721	OG0008358	Gab	Gab	growth factor receptor bound protein 2 (Grb2)-associated protein, Gab1/2/3-like, daughter of sevenless (dos) homolog, Grb2	
3520	SPU_007722	OG0000564	NA	Cyfip2	cytoplasmic FMR1 interacting protein 2	NP_055191
3521	SPU_007723	OG0007477	NA	Tcfap4L	transcription factor AP4-like	
3522	SPU_007724	OG0002094	WD40 superfamily	Wdr55	WD repeat domain 55	NP_060176.2
3523	SPU_007727	OG0004848	threonyl-tRNA synthetase	Mrpl39	mitochondrial ribosomal protein L39	XP_002738958
3524	SPU_007732	OG0003190	NA	NA	NA	NA
3525	SPU_007733	OG0010844	NA	ScyL1	gklp, Kinase-like protein	AB051427
3526	SPU_007736	OG0003240	NA	Ilf2	interleukin enhancer binding factor 2	NP_004506 
3527	SPU_007738	OG0012109	NA	NA	NA	NA
3528	SPU_007745	OG0003561	carbonic anhydrase	Cahb	bca-1	AAK39291
3529	SPU_007747	OG0012215	 metabotropic glutamate receptor	Grm3L	glutamate receptor, metabotropic 3-like, Grm3, Grm8L	XP_002735016
3530	SPU_007748	OG0008459	adenosine kinase	AdkL2	adenosine kinase-like, Adka	XP_001635774
3531	SPU_007749	OG0010934	basic zipper	Atf6	 \t      activating transcription factor 6-like, cAMP-dependent transcription factor ATF-6 -like, Atf6a/b, Atf6b	
3532	SPU_007750	OG0012327	NA	Pomt1	protein-O-mannosyltransferase 1	 NP_009102 
3533	SPU_007751	OG0012172	NA	NA	NA	NA
3534	SPU_007753	OG0006927	P_loop_NTPase superfamily	Hypp_28	hypothetical protein-28; Nedd4 binding protein 2-like	NA
3535	SPU_007756	OG0011167	NA	Cyb561d1	Cytochrome b561 domain containing protein 1	67462193
3536	SPU_007758	OG0006381	NA	NA	NA	NA
3537	SPU_007760	OG0005381	NAGLU superfamily	Naglu	N-acetyl-glucosaminidase	AAM21194.1
3538	SPU_007763	OG0003582	potential (TRP) channels	Mucpdn	TRPML	NM018298.9
3539	SPU_007764	OG0006483	ABCC	Abcc9d	SUR1/2	NM_020297
3540	SPU_007765	OG0011045	sulfotransferase	Chst1	carbohydrate sulfotransferase 1, keratan sulfate Gal-6 sulfotransferase	NA
3541	SPU_007767	OG0005286	Neur_chan_LBD superfamily	Gabrb3L	gamma-aminobutyric acid (GABA) A receptor, beta 3-like	XP_002599205
3542	SPU_007768	OG0011309	NA	Papk	Polyploidy-associated protein kinase, BIRC4 interacting protein 	AB057666
3543	SPU_007770	OG0000767	ion_trans	CcLta1.2	NA	AA083838
3544	SPU_007771	OG0011277	RhoGEF	Plekhg7L1_1	pleckstrin homology domain-containing family G member 7-like 1, Flj46688l1_1	XP_002742127
3545	SPU_007772	OG0002768	Hist_deacetyl superfamily	Hdac11	histone deacetylase 11	NP_079103.2
3546	SPU_007773	OG0010132	SNF2	Arip4	helicase ARIP4, Rad54l2, Snf2	XP_003454637
3547	SPU_007774	OG0000782	NA	Fads1	Fatty acid desaturase 1	14043780
3548	SPU_007775	OG0006181	NA	Gamt	Guanidinoacetate N-methyltransferase	2498404
3549	SPU_007776	OG0010016	Neur_chan_LBD superfamily, Neur_chan_memb superfamily	Chrna7_1	cholinergic receptor, nicotinic, alpha 7-1	EDM08371.1
3550	SPU_007777	OG0004037	NA	NA	NA	NA
3551	SPU_007778	OG0002053	F-box	Moka	modulator of KLF7 	NA
3552	SPU_007785	OG0010914	Pex2_Pex12 superfamily	Pxmp3	peroxisomal membrane protein 3; peroxin 2	NP_000309.1
3553	SPU_007793	OG0002926	Inhibitor_I9 superfamily, peptidase_S8 superfamily	Asp_7	alkaline serine protease (bacterial)-7	AAC60459.1
3554	SPU_007796	OG0002218	NA	Surreal/Gpcr85	NA	NA
3555	SPU_007798	OG0002033	Inhibitor_I9 superfamily, peptidase_S8 superfamily	Asp_9	alkaline serine protease (bacterial)-9	EEO15561.1
3556	SPU_007800	OG0002765	TSP1 superfamily, VWC superfamily, GHB superfamily	Sspo	SCO-spondin	CAL69034.1
3557	SPU_007803	OG0007505	NA	Hs3st5L	heparan sulfate (glucosamine) 3-O-sulfotransferase 5-like	AAI47491.1
3558	SPU_007809	OG0009330	NA	NA	NA	NA
3559	SPU_007812	OG0008877	NA	Grm3L_1	glutamate receptor, metabotropic 3-like (partial duplicate)	XP_787478
3560	SPU_007813	OG0007140	NA	Hypp_527	hypothetical protein-527	XP_002112075.1
3561	SPU_007814	OG0012175	MFS superfamily	Slc46a1L	solute carrier family 46, member 1-like	CAI25542.1
3562	SPU_007819	OG0000775	NA	NA	NA	NA
3563	SPU_007821	OG0005021	NA	NA	NA	NA
3564	SPU_007822	OG0012671	Transforming growth factor beta	Bmp3	bone morphogenic protein 3-like, Gdf10-like, growth differentiation factor 10-like, bone-inducing protein-like, BIP-like, Bmp3a/b, Bmp3b	XP_002735398
3565	SPU_007823	OG0008212	NA	NA	NA	NA
3566	SPU_007825	OG0003693	NA	Ndufs2	NADH-ubiquinone oxidoreductase 49 kDa subunit, mitochondrial precursor (Complex I-49KD) (CI-49KD)	20178314
3567	SPU_007826	OG0012619	NA	Hypp_1748	hypothetical protein-1748	NA
3568	SPU_007828	OG0001912	RAI16-like superfamily	Fam160b1L	family with sequence similarity 160, member B1-like	NP_065991.3
3569	SPU_007831	OG0001421	NA	NA	NA	NA
3570	SPU_007833	OG0000782	Delta6-FADS-like	FadsL1	fatty acid desaturase-like, Fads1/2/3-like, Fads2	AEK20864.1
3571	SPU_007836	OG0002724	NA	NA	NA	NA
3572	SPU_007837	OG0012146	NA	NA	NA	NA
3573	SPU_007841	OG0007290	NA	Fbxl4	F-box and leucine-rich repeat protein 4	NP_036292.2
3574	SPU_007842	OG0001894	ankyrin superfamily	Ankrd28	ankyrin repeat domain 28	BAA20833.2
3575	SPU_007845	OG0002422	Enabled/VASP	EnaL	enabled-like, Enah/Evl/Vasp-like, Eph2	XP_004699174
3576	SPU_007847	OG0004857	NA	NA	NA	NA
3577	SPU_007849	OG0012232	NA	NA	NA	NA
3578	SPU_007851	OG0007136	DUF724 superfamily	Ccdc21L	coiled-coil domain containing 21-like	NP_417697.2
3579	SPU_007863	OG0001307	NA	Cbl	NA	AAC47487
3580	SPU_007868	OG0001424	NA	NA	NA	NA
3581	SPU_007869	OG0007781	COG0182 superfamily	Eif2b2	eukaryotic translation initiation factor 2B, subunit 2 beta	NP_055054.1
3582	SPU_007870	OG0003442	NA	Ranbp2L	RAN binding protein 2 like	NP_006258
3583	SPU_007871	OG0000083	ankyrin superfamily	Unc44_284	ankyrin2,3/unc44-284	NA
3584	SPU_007876	OG0000900	NA	Slc35	solute carrier most similar to family 35	28893193
3585	SPU_007877	OG0008215	ankyrin superfamily	Ankrd49	ankyrin repeat domain 49; fetal globin inducing factor-like	NP_060174.2
3586	SPU_007878	OG0010692	ADP_ribosyl_GH superfamily	Adprh_1	ADP-ribosylarginine hydrolase-1	AAH74769.1
3587	SPU_007882	OG0009679	NA	C-lectin	NA	NP_999805
3588	SPU_007887	OG0010685	formin	Form1ph	mDia, diaphanous	52485606
3589	SPU_007890	OG0000372	HTH_ps superfamily, DDE superfamily, PHD superfamily	Hypp_530	hypothetical protein-530	XP_001944170.1
3590	SPU_007891	OG0003924	NA	NA	NA	NA
3591	SPU_007905	OG0008997	NA	Slc7a11_3	Cystine/glutamate transporter (Amino acid transport system xc-) (xCT) (Calcium channel blocker resistance protein CCBR1)	12585385
3592	SPU_007908	OG0005467	NA	NA	NA	NA
3593	SPU_007914	OG0006587	NA	Glt8L	glycosyltransferase family 8	63680484
3594	SPU_007923	OG0001412	NA	Hypp_532	hypothetical protein-532	NA
3595	SPU_007927	OG0010893	NA	SatL4	spermidine/spermine N(1)-acetyltransferase-like 4, diamine acetyltransferase-like, Sat2_1	XP_798072
3596	SPU_007930	OG0012785	NA	Dnaseg	Deoxyribonuclease I-like 3	AF047355
3597	SPU_007932	OG0012364	NA	NA	NA	NA
3598	SPU_007935	OG0004241	UgpQ superfamily	Gde1	glycophosphodiester phosphodiesterase 1; membrane interacting protein of RG16	NP_057725.1
3599	SPU_007940	OG0003263	lipase superfamily	Daglb	diacylglycerol lipase, beta	NP_631918.2
3600	SPU_007942	OG0002290	NA	Epn2	epsin 2	NP_683723 
3601	SPU_007944	OG0003479	cyclophilin	Ppil4	peptidylprolyl isomerase (cyclophilin)-like 4	XP_011681879
3602	SPU_007945	OG0007324	IG superfamily	Hypp_1755	hypothetical protein-1755	XP_002210990.1
3603	SPU_007947	OG0011749	IG superfamily	Kirrel2L_1	kin of IRRE like 2 (Drosophila)-like-1	EDL24020.1
3604	SPU_007948	OG0003011	synaptotagmin	Syt6-1_1	synaptotagmin 6, synaptotagmin A	NP_061270
3605	SPU_007950	OG0011726	Asp_Arg_Hydrox superfamily	Asphd2	aspartate beta-hydroxylase domain containing 2	AAH36753.1
3606	SPU_007952	OG0001790	NA	Tirc2_1	TIR-containing 2	NA
3607	SPU_007954	OG0010688	NA	Bivm	basic, immunoglobulin-like variable motif containing; BIVM protein	AAH75085.1
3608	SPU_007956	OG0004577	pseudoU_synthase superfamily	Pus1	pseudouridylate synthase 1	AAD21042.1
3609	SPU_007958	OG0011720	NA	Fam55cL	family with sequence similarity 55, member C-like	EEA34239.1
3610	SPU_007960	OG0010594	OSCP superfamily	Atp5o	ATP synthase, H+ transporting, mitochondrial F1 complex 0 subunit	NP_613063.1
3611	SPU_007962	OG0002447	NA	Nedd4	neural precursor cell expressed, developmentally down-regulated 4	NP_006145
3612	SPU_007964	OG0007980	protein inhibitor of activated STAT	Pias1	GBP; DDXBP1; GU/RH-II	NP_062637
3613	SPU_007972	OG0007912	NA	Ythdc2	YTH domain containing 2 - duplicate	NP_073739 
3614	SPU_007973	OG0003109	NA	Ck1g	casein kinase I gamma subunit 3 isoform 1	XP_779900.1
3615	SPU_007974	OG0007500	NA	Aggf1L	angiogenic factor with G patch and FHA domains 1-like	AAH32844.1
3616	SPU_007977	OG0009477	P_loop_NTPase superfamily	KatnaL2	ketanin p60 subunit A-like 2	EAW62901.1
3617	SPU_007978	OG0003527	cohesin_load superfamily	Kiaa0892	KIAA0892 protein-like	BAA74915.1
3618	SPU_007979	OG0010024	NA	Gata2a	GATA zinc finger domain containing 2A	EAW84821.1
3619	SPU_007980	OG0006505	matrix metalloproteinase (MMP)	Mmp14	matrix metallopeptidase 14-like, Mm24, Mmp14L, MMP-a	NP_001028823
3620	SPU_007981	OG0005428	misc	Lmpt	limpet, Fhl2/3/5-like	XP_002731816
3621	SPU_007985	OG0006318	NA	Slc7	solute carrier family 7	27690826
3622	SPU_007987	OG0002829	NA	NA	NA	NA
3623	SPU_007990	OG0012662	NA	Mgam_5	maltase-glucoamylase	19033164
3624	SPU_007992	OG0001777	NA	NA	NA	NA
3625	SPU_007994	OG0012308	NA	NA	NA	NA
3626	SPU_007999	OG0002152	CXC superfamily	Hypp_1759	hypothetical protein-1759	NA
3627	SPU_008001	OG0012210	NA	Clect_69	NA	NA
3628	SPU_008002	OG0009301	RCC1 superfamily	Rpgr	retinitis pigmentosa GTPase regulator	AAF73141.1
3629	SPU_008004	OG0012787	NA	NA	NA	NA
3630	SPU_008007	OG0000524	RT-like superfamily, rve superfamily	PolppL_64	pol polyprotein-like-64	XP_001922214.1
3631	SPU_008008	OG0002582	novel	Serrp1	NA	NA
3632	SPU_008009	OG0010169	NA	Aldh4a1	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial precursor (P5C dehydrogenase) (Aldehyde dehydrogenase 4A1)	62511241
3633	SPU_008011	OG0010079	KH-domain RNA binding protein	Hnrnpk	Poly(C) binding protein	P61978
3634	SPU_008013	OG0000728	NA	Nsun4	NOL1/NOP2/Sun domain family, member 4	NP_082418.1
3635	SPU_008015	OG0000180	NA	Unk_70	unknown kinase	NA
3636	SPU_008017	OG0004409	RRN3 superfamily	Rrn3	RRN3 protein; RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)	NP_060897.3
3637	SPU_008018	OG0006501	APC	Apc1_1	NA	NA
3638	SPU_008022	OG0005665	Frizzled 	Fzd4	frizzled homolog 4-like, Frizz4, SpFz4	XP_002730495
3639	SPU_008024	OG0011555	NA	Haspin	NA	NP_114171
3640	SPU_008026	OG0000243	LIM superfamily	Ablim1	actin binding LIM protein 1	BAG52725.1
3641	SPU_008034	OG0010759	Glyco_hydro superfamily	Edem3	ER degradation enhancer, mannosidase alpha-like 3; Edem3 protein; human chromosome 1 open reading frame 22-like	EAW91179.1
3642	SPU_008040	OG0006978	NA	Aatf	apoptosis antagonizing transcription factor	NP_036270
3643	SPU_008041	OG0001081	TBC superfamily	Tbc1d9	TBC1 domain family, member 9	XP_414602.2
3644	SPU_008042	OG0001078	NA	Higd2A	HIG1 domain family, member 2A	NP_620175   
3645	SPU_008043	OG0003230	WD40 superfamily	Wdr54	WD repeat domain 54	BAE32529.1
3646	SPU_008045	OG0002702	NA	NA	NA	NA
3647	SPU_008046	OG0005462	Ras superfamily, ARF family	Arl9/10	ADP-Ribosylation Factor-Like 9/10	DQ214094
3648	SPU_008050	OG0003205	NA	NA	NA	NA
3649	SPU_008051	OG0009197	NA	NA	NA	NA
3650	SPU_008054	OG0003947	Sec63 superfamily	Sec63h	translocation protein SEC63 homolog (S. cerevisiae)	CAB70701.1
3651	SPU_008057	OG0012600	NA	Kctd4	Potassium channel tetramerisation domain containing protein 4 	50401158
3652	SPU_008058	OG0004278	aminoacyl-tRNA synthetase	VarsiA	valyl-tRNA synthetase	P26640
3653	SPU_008062	OG0004978	NA	NA	NA	NA
3654	SPU_008063	OG0010783	helicase_C superfamily	Sbno1L	sno, strawberry notch homolog 1 (Drosophila)-like	NP_001074672.1
3655	SPU_008067	OG0011507	NA	NA	NA	NA
3656	SPU_008068	OG0006216	NA	NA	NA	NA
3657	SPU_008072	OG0004806	NA	Pcgf3	polycomb group ring finger 3	EDL20112.1
3658	SPU_008073	OG0000552	NA	Uqcrb	ubiquinol-cytochrome c reductase binding protein, cytochrome b-c1 complex subunit 7, UQBP, Uqcrb_1 	XP_003444123
3659	SPU_008074	OG0007506	PHD superfamily	Hypp_30	hypothetical protein-30; PHD finger-related; inhibitor of growth family-like	NA
3660	SPU_008075	OG0001223	NA	Fdft1	Squalene synthetase (SQS) (SS) (Farnesyl-diphosphate farnesyltransferase) (FPP:FPP farnesyltransferase).	585126
3661	SPU_008077	OG0011514	NUC194 superfamily, PARG_cat superfamily	Parg	poly (ADP-ribose) glycohydrolase	AAB61614.1
3662	SPU_008079	OG0011824	NA	NA	NA	NA
3663	SPU_008081	OG0000239	NA	NA	NA	NA
3664	SPU_008083	OG0005169	NA	Dpagt1	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (GPT) (G1PT) (N-acetylglucosamine-1-phosphate transferase) (GlcNAc-1-P transferase).	136629
3665	SPU_008089	OG0005385	WD40 superfamily, PHD superfamily	Vps8h	vacuolar protein sorting 8 homolog (S. cerevisiae)	AAH55323.1
3666	SPU_008091	OG0004084	NA	NA	NA	NA
3667	SPU_008094	OG0000987	NA	St8sia4_1	CMP-N-acetylneuraminate-poly-alpha-2,8-sialyl transferase (Alpha-2,8-sialyltransferase 8D) (ST8Sia IV) (Polysialyltransferase-1)	2494834
3668	SPU_008095	OG0004389	NA	Adar	Adenosine deaminase, RNA-specific	NP_056656
3669	SPU_008101	OG0003164	NA	Fam78a	family with sequence similarity 78, member A	NP_780720.1
3670	SPU_008102	OG0001036	NA	NA	NA	NA
3671	SPU_008104	OG0001062	NA	NA	NA	NA
3672	SPU_008107	OG0005225	peptidase_C19 superfamily, Peptidase_C48 superfamily	Hypp_31	hypothetical protein-31; sentrin/sumo-specific protease-like; ubiquitin-specific peptidase-like	NA
3673	SPU_008110	OG0006797	kinesin motor domain	Kif4_1	kinesin family member 4 (duplicate), Kif4a/b-like, chromokinesin	NP_001006741
3674	SPU_008111	OG0007539	RNA_pol_I subunits	Polr1d	NA	NM_015972
3675	SPU_008112	OG0004098	homeobox-PRD	Phd1	paired homeodomain 1, Phb1	
3676	SPU_008113	OG0002703	peptidase M76	Xrcc6bp1	XRCC6 binding protein 1, mitochondrial inner membrane protease ATP23 homolog	XP_002740270
3677	SPU_008114	OG0001498	NA	NA	NA	NA
3678	SPU_008115	OG0009307	NA	Pontin52	RuvB-like protein 1/Ruvbl1 protein	AAH71105 
3679	SPU_008116	OG0002091	TPR superfamily	Rpap3	RNA polymerase II associated protein 3	BAG61431.1
3680	SPU_008117	OG0010002	nuclear hormone receptor	Shr2	steroid hormone receptor 2, SpSHR2, nuclear receptor subfamily 2 group C-like, Nr2c-like	XP_002739506
3681	SPU_008118	OG0002574	NA	OptnL	optineurin-like	XP_535187.2
3682	SPU_008120	OG0003701	NA	Slmap	sarcolemma associated protein; sarcolemmal membrane-associated protein; SLAM; SLMAP	NP_009090
3683	SPU_008121	OG0001392	STK	PxkL	PX domain containing serine/threonine kinase-like, Slob	EDL94165.1
3684	SPU_008122	OG0002476	DUF3715	Fam208a	family with sequence similarity 208 member A-like, Rap140-like, C3orf63L, Hypp_3114	XP_006818571
3685	SPU_008128	OG0011665	TPR superfamily	Ttc33	tetratricopeptide repeat domain 33	NP_036514.1
3686	SPU_008131	OG0006298	rve superfamily, RT-like superfamily	PppL_190	pol polyprotein like-190	XP_001810599.1
3687	SPU_008133	OG0008622	NA	Porcupine	porcupine homolog	BAA89472 
3688	SPU_008134	OG0000237	NA	NA	NA	NA
3689	SPU_008136	OG0000496	NA	Rsbn1L	round spermatid basic protein 1-like	NP_940869.2
3690	SPU_008142	OG0011030	NA	Hsd17b12b	17-beta hydroxysteroid dehydrogenase type 12B, 3-ketoacyl-CoA reductase type B	37589733
3691	SPU_008143	OG0001751	NA	Ap3b	adaptor-related protein complex 3 beta subunit, ruby (rb) homolog, Ap3b2, Ap3b2-2	XP_004617658
3692	SPU_008152	OG0010047	CYP2	Cyp2L16	Cytochrome P450 Family 2 like, CYP2	62751797
3693	SPU_008157	OG0008396	NA	Hypp_3001	Hypothetical protein_3001	XP_641277
3694	SPU_008158	OG0003638	similar to peroxisomal biogenesis factor 6-like	Pbf6L	similar to peroxisomal biogenesis factor 6-like	XP_785189
3695	SPU_008159	OG0012674	NA	Kcnk13	Potassium channel subfamily K member 13 (Tandem pore domain halothane inhibited potassium channel 1) (THIK-1)	24636284
3696	SPU_008160	OG0006044	NA	Trpm_3	transient receptor potential cation channel, subfamily M, member 5	73983537
3697	SPU_008161	OG0010409	PIN superfamily	Hypp_537	hypothetical protein-537	EDO31223.1
3698	SPU_008162	OG0003797	NA	Hypp_1769	hypothetical protein-1769; kinesin-like	
3699	SPU_008163	OG0005263	O-FucT superfamily	Pofut2	protein O-fucosyltransferase 2	CAE01472.1
3700	SPU_008164	OG0005893	NA	NA	NA	NA
3701	SPU_008170	OG0007763	NA	NA	NA	NA
3702	SPU_008172	OG0009502	daz associated protein	Dazap	gi|68368579|ref|XP_684558.1|	NA
3703	SPU_008173	OG0011568	histone methylase	Suvar 3-9	NA	NA
3704	SPU_008175	OG0006866	bHLH	Mitf	microphthalmia-associated transcription factor-like, transcription factor E family-like, Tfe-like, TFE3	ADX20705.1
3705	SPU_008176	OG0003763	NA	Aadat	Kynurenine/alpha-aminoadipate aminotransferase mitochondrial precursor (KAT/AadAT) (Kynurenine--oxoglutarate transaminase II) (Kynurenine aminotransferase II) (Kynurenine--oxoglutarate aminotransferase II) (2-aminoadipate transaminase) (2-aminoadipate aminotransferase) (Alpha-aminoadipate aminotransferase) (AadAT)	46396046
3706	SPU_008177	OG0004548	Rel homology domain (RHD), IPT domain, Ankyrin repeat  \t	Nfkb	nuclear factor of kappa light polypeptide gene enhancer in B cells 1(p105) and 2(p49/p100)-like, Nfkb1/2-like  	NP_001158473
3707	SPU_008178	OG0004615	WD40 repeat	Tssc1L	tumor suppressing subtransferable candidate 1-like	
3708	SPU_008179	OG0000884	kinase-AGC	Pkci_1	protein kinase C iota type, Prkci, atypical PKC-lambda/iota type	BAF99000.1
3709	SPU_008180	OG0000884	kinase-AGC	Pkci	protein kinase C iota type, Prkci, atypical PKC-lambda/iota type	ADZ96017
3710	SPU_008184	OG0000133	NA	NA	NA	NA
3711	SPU_008185	OG0012639	NA	NA	NA	NA
3712	SPU_008189	OG0003451	TIM_phosphate_binding superfamily	Npl	N-acetylneuraminate pyruvate lyase	NP_083025.1
3713	SPU_008193	OG0000660	RT-like superfamily	RtL_18	reverse transcriptase-like-18	AAA49027.1
3714	SPU_008194	OG0009907	RNA binding motif protein	Boule	NA	CAG30557.1
3715	SPU_008195	OG0005678	NA	Hpd_1	4-hydroxyphenylpyruvate dioxygenase (4HPPD) (HPD) (HPPDase)	417144
3716	SPU_008198	OG0001841	NA	Poc5	POC5 centriolar protein, C5orf37, C5orf37L	XP_002591139
3717	SPU_008199	OG0002287	NA	Tanc	tetratricopeptide repeat ankyrin repeat and coiled-coil containing 1 and 2 -like, rolling pebbles (rols) homolog, Tanc2_1	XP_004655149
3718	SPU_008201	OG0000628	NA	NA	NA	NA
3719	SPU_008202	OG0008589	NA	Hypp_9771	hypothetical protein-9771	XP_002223929.1
